RNC EMISOR, CODIGO SIVEM, ISIN,SERIE, FECHA EMISION,FECHA VENCIMIENTO,MONEDA,TIPO TRANSACCION,TIPO CONTRATO,NEGOCIACION,TIPO MERCADO,TASA,TASA RENDIMIENTO,FECHA VALOR,CANTIDAD TITULOS,CANTIDAD VALOR NOMINAL,VALOR NOMINAL,PRECIO NEGOCIADO,VALOR NEGOCIADO,FECHA ENVIO
4-01-00732-2,SIVEMGC-243,DO1005206011,MH12032,05/03/2017,05/03/2032,DOP,V,SP,OTC,S,0.12,0.0936,05/08/2019,100,10000000,100000,119.25,11925000,20/09/2019
4-01-00732-2,GC-264,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0934,05/08/2019,100,10000000,100000,116.9,11690000,20/09/2019
4-01-00732-2,GC-186,DO1005204412,MH1-2029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0902,05/08/2019,100,10000000,100000,115.25,11525000,20/09/2019
4-01-00732-2,SIVEMGC-202,DO1005205013,MH1-2026,06/03/2015,06/03/2026,DOP,C,SP,OTC,S,0.1038,0.0873,05/08/2019,750,75000000,100000,108.0698,81052350,20/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/02/2017,05/02/2027,DOP,C,SP,OTC,S,0.1125,0.0895,05/08/2019,1000,100000000,100000,112.4071,112407100,20/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/02/2017,05/02/2027,DOP,V,SP,OTC,S,0.1125,0.088,05/08/2019,1000,100000000,100000,113.2824,113282400,20/09/2019
4-01-00755-1,SIVEMBC-193,DO1002213424,DOBCI100120,10/01/2015,10/01/2020,DOP,C,SP,OTC,S,0.105,0.081,05/08/2019,2500,25000000,10000,101.0161,25254028.25,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.09,05/08/2019,500,50000000,100000,110.6877,55343850,20/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206722,MH12034,11/01/2019,11/01/2034,DOP,C,SP,OTC,S,0.115,0.0931,05/08/2019,55,5500000,100000,117.25,6448750,20/09/2019
4-01-00755-1,SIVEMBC-244,DO1002217227,DOBCNO11.00%170524,17/05/2017,17/05/2024,DOP,C,SP,OTC,S,0.11,0.091,05/08/2019,500,5000000,10000,107.2072,5360361.051,20/09/2019
